ResponseId,f_aff,f_ener,f_acc,f_ang,f_int,f_calm,f_app,f_cont,f_dis,f_qui,f_sad,f_emb,f_bor,f_anx,f_rela,f_fear,f_pea,f_sha,f_reli,f_gui,f_hap,f_pro,f_amu,f_joy,f_irr,f_fru,f_exc,f_conc,f_lon,i_aff,i_ener,i_acc,i_ang,i_int,i_calm,i_app,i_cont,i_dis,i_qui,i_sad,i_emb,i_bor,i_anx,i_rela,i_fear,i_pea,i_sha,i_reli,i_gui,i_hap,i_pro,i_amu,i_joy,i_irr,i_fru,i_exc,i_conc,i_lon,ftp1,ftp2,ftp3,ftp4,ftp5,ftp6,ftp7,ftp8,ftp9,ftp10,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,health,risk_self,risk_pop,risk_comp,age,gender_all,race_all,educ,income,emp,emp_affect,livealone,gender_bin_f,race_bin,emp_bin,FTP_av,FTP_Opp,FTP_Ext,FTP_Con,Openness,Conscientiousness,Extraversion,Agreeableness,Em_Stability,avg_f_pos,avg_f_neg,avg_i_pos,avg_i_neg
R_3hyGA6CxylYQT4l,2,2,2,2,2,3,2,3,1,3,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,1,2,2,2,3,2,2,2,2,3,3,3,2,3,2,1,3,2,3,1,3,2,1,1,3,1,3,3,4,4,2,3,3,6,7,5,6,4,4,4,6,3,4,1,4,3,1,5,2,6,5,4,4,3,2,2,2,18,male,White or European-American,Graduated high school (or GED),"$40,000 to $50,000",Not currently working for pay,0,No,Non-female,White,Not_working,4.9,6,6,6,4.5,4,1.5,5,2.5,2.0625,1.538461538,2.5,2.307692308
R_3khQCwryRRrMleq,3,1,1,3,NA,2,1,1,3,4,3,3,4,4,1,2,1,2,1,3,2,2,3,2,4,4,1,2,4,3,1,1,3,0,1,1,1,4,4,4,3,3,3,1,3,1,3,1,3,1,1,2,1,4,4,1,3,4,5,7,5,4,5,4,5,3,3,1,1,1,5,1,3,1,7,6,1,7,2,1,3,3,18,female,White or European-American,Graduated high school (or GED),"$20,000 to $30,000",Not currently working for pay,0,No,Female,White,Not_working,4.2,5,4,3,5,5.5,1,4,1,1.733333333,3.153846154,1.3125,3.384615385
R_3MiKtsdvUL5TPWv,2,2,2,1,3,1,2,2,2,3,2,1,2,3,NA,2,1,2,2,2,2,2,2,2,2,2,2,3,NA,2,1,2,1,2,1,1,2,1,3,2,1,1,3,0,1,1,1,2,2,3,2,1,2,1,2,1,3,0,6,6,6,5,5,4,5,3,4,2,4,3,5,3,6,2,5,4,5,5,3,3,2,1,18,female,Black or African-American,Some college or technical school,"$40,000 to $50,000",Not currently working for pay,0,No,Female,Non-white,Not_working,4.6,6,5,3,5.5,4.5,3,4,4,2,2,1.625,1.461538462
R_6DPr9h5YUtFLm6J,3,2,2,1,2,2,3,3,1,2,2,0,3,2,2,1,2,0,2,0,2,2,3,2,1,1,2,1,2,3,2,3,1,2,3,3,3,1,2,1,NA,3,3,2,1,3,NA,2,NA,3,3,3,2,1,1,2,1,2,5,5,5,6,6,6,6,4,6,4,2,4,4,2,5,3,6,3,5,5,4,1,3,1,18,male,White or European-American,Graduated high school (or GED),"$160,000 to $180,000",Not currently working for pay,0,No,Non-female,White,Not_working,5.3,5,6,4,5,3.5,2.5,5,3.5,2.25,1.153846154,2.5625,1.5
R_d4HIk2nJR3BWFVv,2,1,2,1,2,2,3,2,0,3,2,0,4,2,2,0,2,0,1,0,2,0,1,1,3,2,0,1,1,3,2,2,1,2,3,3,2,NA,3,3,NA,4,3,2,NA,2,NA,1,NA,2,NA,1,1,4,3,NA,3,1,6,6,7,7,5,5,5,6,6,7,5,3,4,2,7,3,7,3,5,6,4,3,4,1,18,female,White or European-American,Graduated high school (or GED),"$40,000 to $50,000",Not currently working for pay,0,No,Female,White,Not_working,6,6,7,6,6.5,3.5,4,5,3.5,1.625,1.230769231,2.071428571,2.75
R_r70hobuRfhGYIRb,2,2,1,0,2,4,4,4,0,2,NA,1,2,1,3,NA,3,1,2,1,3,2,2,3,1,1,2,1,1,2,2,1,NA,2,3,3,3,NA,2,0,1,1,1,3,0,3,1,3,1,3,1,2,3,1,1,3,1,1,7,7,7,7,7,7,7,7,7,7,1,7,6,6,5,1,7,5,7,4,3,1,3,1,18,female,Asian or Asian-American,Graduated high school (or GED),"$10,000 to $20,000",Not currently working for pay,0,No,Female,Non-white,Not_working,7,7,7,7,4.5,5.5,1,7,6.5,2.5625,0.909090909,2.4375,0.818181818
R_ZK8zd76grr51LBn,3,2,1,2,1,NA,3,2,2,1,3,0,4,2,1,2,NA,0,2,0,2,2,1,1,2,3,1,2,1,2,2,3,1,3,0,4,1,2,1,2,NA,3,3,1,2,0,NA,2,NA,1,2,1,1,2,3,1,3,1,6,6,7,6,6,7,7,6,6,5,3,6,5,3,6,2,5,6,4,7,3,2,3,0,18,female,Black or African-American,Graduated high school (or GED),"$80,000 to $100,000",Working for pay (part-time or full-time),1,No,Female,Non-white,Working,6.2,6,6,6,6.5,5.5,2.5,5.5,3.5,1.642857143,1.769230769,1.5625,2.2
R_1jHQqjkGGJGJ3Mo,2,1,1,2,NA,0,0,NA,2,3,2,0,3,2,NA,1,0,0,1,2,1,0,1,1,2,3,0,2,2,1,1,2,3,0,NA,NA,0,1,4,2,NA,4,1,0,1,NA,NA,1,1,1,NA,2,1,3,2,NA,1,1,5,5,5,7,2,1,5,5,2,4,6,2,7,6,6,7,5,7,4,7,4,3,4,1,19,female,more than one race,Some college or technical school,"$10,000 to $20,000",Working for pay (part-time or full-time),4,No,Female,Non-white,Working,4.1,5,7,5,6.5,7,6.5,3.5,5,0.846153846,1.769230769,1.181818182,1.818181818
R_1mvWQgtr74wEVU9,2,3,1,2,2,3,2,3,NA,4,1,NA,2,1,3,NA,3,NA,3,1,2,2,3,2,1,1,2,1,2,1,3,1,1,2,3,2,2,0,3,2,0,3,1,2,0,2,0,1,2,3,2,3,3,1,1,2,1,3,3,3,6,6,2,5,5,5,4,2,1,5,6,6,5,1,3,2,6,4,4,1,3,1,19,male,White or European-American,Graduated high school (or GED),"$10,000 to $20,000",Not currently working for pay,0,No,Non-female,White,Not_working,4.1,3,6,5,4.5,4,1,4,6,2.5,1.333333333,2.1875,1.153846154
R_1N96OmDwRb58zv7,2,1,1,2,2,2,1,3,1,2,1,2,3,2,2,0,2,0,2,1,2,2,2,1,1,2,1,1,2,2,1,3,2,3,1,2,3,1,2,1,3,3,2,2,NA,2,NA,1,1,2,3,1,2,3,3,3,1,3,6,7,6,7,5,5,6,2,3,1,5,2,6,5,5,3,4,3,5,7,4,2,1,2,19,female,Asian or Asian-American,Some college or technical school,Decline to answer,Not currently working for pay,0,Yes,Female,Non-white,Not_working,4.8,6,7,2,6,4.5,4,3,5,1.75,1.384615385,2.0625,2.090909091
R_21cZtP5Fiu3VjXH,3,3,3,2,3,3,3,3,2,1,1,1,2,2,3,1,3,NA,3,1,4,3,3,3,1,1,3,2,1,3,2,2,1,2,3,3,3,2,1,1,1,1,1,3,1,3,0,2,1,3,2,3,3,1,1,3,1,1,7,6,7,7,6,6,7,5,5,5,1,5,3,4,5,1,5,3,5,1,3,1,3,2,19,male,Asian or Asian-American,Graduated high school (or GED),"$30,000 to $40,000",Not currently working for pay,3,No,Non-female,Non-white,Not_working,6.1,7,7,5,3,3,1,5,4.5,2.9375,1.416666667,2.5625,1
R_23Wi5HMRHprGhOK,0,0,0,1,0,2,2,0,2,4,4,1,4,3,1,2,1,2,1,2,1,0,1,1,2,2,0,3,0,NA,NA,NA,1,NA,1,2,NA,2,4,3,1,4,3,1,2,1,2,1,2,1,NA,1,1,2,2,NA,3,NA,4,3,3,3,1,3,4,3,5,3,1,7,3,3,6,1,6,5,5,4,3,2,3,2,19,female,Asian or Asian-American,Graduated high school (or GED),"$20,000 to $30,000",Not currently working for pay,1,No,Female,Non-white,Not_working,3.2,4,3,3,5,4,1,6.5,4,0.875,2.153846154,1.444444444,2.25
R_24DdJr0153KyW1r,NA,1,2,3,1,2,3,1,3,4,4,0,4,4,2,4,2,1,1,1,2,1,2,2,2,2,2,4,4,0,2,2,3,2,2,2,2,2,2,4,NA,4,4,1,1,1,2,2,2,2,1,2,2,3,4,3,3,4,7,7,7,7,6,6,6,4,6,6,6,6,6,4,5,5,5,4,5,4,4,3,3,3,19,female,White or European-American,Some college or technical school,"$40,000 to $50,000",Working for pay (part-time or full-time),0,No,Female,White,Working,6.2,7,7,4,4.5,5,5.5,5.5,4.5,1.866666667,2.769230769,1.75,3
R_24O5A9Q46FFMh7Q,1,1,1,2,2,2,2,2,0,3,4,0,2,3,1,2,1,0,1,0,2,1,2,2,2,3,1,3,4,2,2,1,3,2,1,2,1,NA,3,4,NA,3,4,2,3,2,NA,1,NA,2,1,3,2,2,3,2,3,4,3,5,5,7,3,4,3,3,5,4,5,7,6,1,4,6,6,4,5,7,4,1,3,2,19,female,White or European-American,Some college or technical school,"$50,000 to $60,000",Not currently working for pay,1,No,Female,White,Not_working,4.2,3,7,3,5.5,5,5.5,6.5,3,1.5625,1.923076923,1.8125,3.222222222
R_26b7z1CW1XFmsOt,3,2,1,0,2,3,2,1,0,1,1,1,3,1,3,0,2,0,2,0,3,2,2,2,1,1,2,2,2,3,2,1,NA,2,2,1,2,NA,1,2,2,3,1,2,NA,2,NA,1,NA,2,1,2,2,1,1,2,1,1,7,7,7,7,6,6,4,6,7,5,7,1,6,5,6,7,7,3,6,4,3,2,3,2,19,other gender,White or European-American,Some college or technical school,"$120,000 to $140,000",Not currently working for pay,0,No,Non-female,White,Not_working,6.2,7,7,6,5,4.5,7,4,5.5,2.0625,0.923076923,1.75,1.5
R_27qhJ1lp0lwO2xQ,NA,2,3,1,2,3,3,2,NA,3,2,NA,4,2,2,0,1,1,1,2,3,2,2,2,1,1,2,1,0,0,2,2,1,2,3,3,2,0,2,2,0,3,1,2,NA,1,2,1,1,2,2,1,1,1,1,2,1,NA,6,6,5,6,6,7,5,5,3,2,5,3,6,6,5,1,6,7,7,4,4,1,2,1,19,male,Asian or Asian-American,Some college or technical school,"Less than $10,000",Not currently working for pay,2,No,Non-female,Non-white,Not_working,5.1,6,6,5,4.5,6.5,3,4.5,6.5,2.2,1.363636364,1.75,1.181818182
R_2bUleHj9PI1IZRC,0,0,0,2,0,0,3,2,3,3,0,0,4,4,0,3,0,0,0,0,0,0,0,0,3,3,0,4,2,NA,NA,NA,1,NA,NA,1,1,2,3,NA,NA,4,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,4,2,7,7,7,7,7,7,7,4,3,1,1,6,6,1,5,1,6,7,4,5,3,4,4,4,19,female,Black or African-American,Some college or technical school,"$10,000 to $20,000",Working for pay (part-time or full-time),1,No,Female,Non-white,Working,5.7,7,7,4,5,6.5,1,6,2.5,0.5,2.153846154,1.666666667,3
R_2c5yAAHyNiCycZP,NA,1,1,0,1,4,2,2,0,3,1,0,3,2,3,1,2,1,1,0,2,1,2,1,0,1,1,1,2,0,1,1,NA,2,3,2,2,NA,3,1,NA,3,1,3,1,2,1,1,NA,2,1,2,1,NA,1,1,1,2,5,3,4,4,3,3,3,6,3,4,2,6,3,7,2,2,4,3,6,5,4,1,3,1,19,male,Asian or Asian-American,Some college or technical school,"$50,000 to $60,000",Not currently working for pay,0,No,Non-female,Non-white,Not_working,3.8,5,4,6,3.5,3,2,5,6.5,1.8,0.923076923,1.6875,1.375
R_2E4Dx5PnCo6i5PP,2,2,1,3,1,2,2,2,0,3,3,0,4,3,2,2,2,1,1,1,2,1,2,2,3,3,2,3,3,1,2,2,2,1,3,3,3,NA,4,3,NA,3,3,1,2,3,2,1,1,3,1,2,2,3,3,1,1,4,5,6,7,7,5,6,5,5,6,4,5,6,7,6,7,5,7,7,6,5,5,4,2,1,19,female,White or European-American,Graduated high school (or GED),Decline to answer,Working for pay (part-time or full-time),1,No,Female,White,Working,5.6,5,7,5,6,7,5,6.5,6,1.8125,2.230769231,2.0625,2.454545455
R_2f340kZkFa0BFEQ,2,2,2,1,2,2,3,3,NA,1,NA,1,2,1,3,NA,3,0,1,0,3,2,2,3,2,0,2,2,0,1,1,2,2,2,2,3,3,0,1,0,1,2,1,2,0,2,NA,1,NA,2,1,2,2,2,NA,2,1,NA,5,6,7,3,3,5,7,5,4,3,6,2,3,5,7,3,5,2,6,7,4,3,3,2,19,female,Asian or Asian-American,Some college or technical school,"$160,000 to $180,000",Not currently working for pay,2,No,Female,Non-white,Not_working,4.8,5,3,5,7,2.5,4.5,3.5,5.5,2.25,0.9,1.8125,1
R_2UY2JRr0O8NRHcm,2,2,2,1,2,2,2,2,1,3,1,1,2,1,2,1,2,1,NA,0,2,1,1,2,1,1,2,0,1,3,3,2,1,2,3,2,2,2,3,2,1,2,2,2,2,2,1,0,NA,3,1,2,2,1,1,3,NA,1,5,5,5,5,4,5,5,5,6,6,2,5,4,5,3,3,4,4,4,5,3,2,3,1,19,male,White or European-American,Graduated high school (or GED),"$60,000 to $80,000",Working for pay (part-time or full-time),0,No,Non-female,White,Working,5.1,5,5,5,4,4,2.5,4.5,4.5,1.933333333,0.923076923,2.1875,1.454545455
R_2WBe1O1dlqe62ni,3,3,1,2,1,2,1,1,NA,2,3,2,4,3,2,NA,1,NA,0,2,1,0,2,1,2,2,1,2,4,2,2,1,2,2,1,1,1,0,2,3,1,4,3,1,0,1,0,NA,2,1,NA,2,1,2,3,2,1,3,7,7,5,7,5,5,4,3,4,3,7,3,5,5,6,6,6,7,3,7,5,1,4,1,19,female,Asian or Asian-American,Some college or technical school,"$100,000 to $120,000",Working for pay (part-time or full-time),0,No,Female,Non-white,Working,5,7,7,3,6.5,6,6.5,4.5,4,1.375,2.6,1.428571429,1.846153846
R_2xJ1T8h4zQufqx8,0,2,2,1,2,3,1,3,0,3,0,2,1,0,2,0,2,0,0,0,2,0,2,2,1,1,2,1,1,NA,1,2,1,3,3,1,3,NA,2,NA,1,1,NA,3,NA,1,NA,NA,NA,1,NA,2,2,2,2,1,1,1,5,7,7,7,4,4,5,3,5,2,1,3,7,3,7,1,5,5,5,6,3,1,3,2,19,male,Black or African-American,Graduated high school (or GED),Decline to answer,Not currently working for pay,0,No,Non-female,Non-white,Not_working,4.9,5,7,3,6.5,6,1,4,4,1.75,0.615384615,1.923076923,1.285714286
R_2zl6uyjtCsuJqGL,0,1,2,0,2,2,3,2,0,2,2,NA,3,2,1,0,1,0,2,0,2,2,2,2,0,0,2,1,2,NA,2,3,NA,4,1,3,3,NA,1,1,0,2,2,2,NA,2,NA,2,NA,3,4,2,2,NA,NA,1,2,1,7,7,7,6,5,4,4,6,5,5,6,4,7,1,7,6,5,7,5,6,3,2,3,1,19,female,White or European-American,Some college or technical school,"$50,000 to $60,000",Not currently working for pay,0,No,Female,White,Not_working,5.6,7,6,6,6.5,7,6,4.5,3,1.75,0.833333333,2.333333333,1.333333333
R_31tHE1g55BkFv6e,2,1,1,2,1,0,2,1,1,4,3,1,4,4,1,3,1,0,1,1,1,1,2,1,3,3,1,4,3,3,4,2,4,1,NA,3,2,2,4,4,3,4,4,2,3,2,NA,3,2,3,2,3,2,4,4,3,3,4,4,5,5,7,3,4,2,1,3,1,5,2,7,3,7,6,6,6,3,7,3,1,3,1,19,male,more than one race,Graduated high school (or GED),"$140,000 to $160,000",Not currently working for pay,3,No,Non-female,Non-white,Not_working,3.5,4,7,1,7,6.5,5.5,4,3,1.3125,2.461538462,2.6,3.416666667
R_3EbdJAS8KV1vNSN,1,3,3,2,2,3,1,4,0,1,1,0,2,2,3,0,4,0,3,0,3,3,4,3,2,2,3,1,0,1,3,4,3,4,4,3,4,NA,1,3,NA,4,1,4,NA,4,NA,3,NA,3,1,3,2,4,2,3,1,NA,6,5,6,6,2,1,6,7,5,3,1,2,7,3,3,1,4,6,5,1,4,1,3,1,19,male,Hispanic or Latinx,Some college or technical school,"Less than $10,000",Not currently working for pay,0,No,Non-female,Non-white,Not_working,4.7,6,6,7,2,6.5,1,3,4,2.75,0.923076923,2.9375,2.571428571
R_3EYGvcphIs0S3Gq,0,NA,0,2,0,NA,2,0,4,0,4,0,4,4,0,4,0,0,0,4,NA,0,0,0,4,4,0,4,4,NA,0,NA,4,NA,0,1,NA,4,NA,4,NA,4,4,NA,4,NA,NA,NA,2,0,NA,NA,NA,4,4,NA,4,4,7,7,7,7,7,7,7,7,7,1,7,7,7,4,7,7,7,7,7,4,5,4,3,3,19,male,White or European-American,Graduated high school (or GED),"Less than $10,000",Not currently working for pay,4,No,Non-female,White,Not_working,6.4,7,7,7,5.5,7,7,7,5.5,0.153846154,3.230769231,0.25,3.818181818
R_3INMq3olo5ljr5T,1,1,0,0,2,3,1,2,0,2,1,0,3,1,2,0,1,0,0,0,2,0,0,1,0,1,0,1,2,2,1,NA,NA,3,2,2,2,NA,1,1,NA,3,1,2,NA,2,NA,NA,NA,2,NA,NA,2,NA,1,NA,2,2,5,5,4,5,3,3,4,6,4,5,5,2,5,5,5,3,3,1,5,6,3,3,3,2,19,male,White or European-American,Some college or technical school,"$60,000 to $80,000",Not currently working for pay,0,No,Non-female,White,Not_working,4.4,5,5,6,5.5,3,4,2.5,5,1.125,0.692307692,1.909090909,1.666666667
R_7P8Rw3b0c3Ab4sh,1,2,2,1,3,3,1,2,NA,2,2,0,2,2,2,1,3,1,2,1,3,2,3,3,2,2,2,2,3,2,2,3,1,3,2,2,4,0,1,2,NA,3,2,2,1,3,1,2,3,2,2,2,1,3,3,1,1,4,5,6,7,6,6,5,5,5,6,3,3,4,6,4,3,3,4,6,7,3,4,3,4,2,19,male,White or European-American,Some college or technical school,"$60,000 to $80,000",Not currently working for pay,0,No,Non-female,White,Not_working,5.4,5,6,5,3,6,3,4,5.5,2.25,1.583333333,2.125,2
R_bdDtsrJs7v1NeIF,1,1,1,4,2,2,1,1,1,2,4,0,3,3,2,1,2,0,2,0,1,1,2,1,3,3,1,1,0,1,1,2,3,2,2,1,1,1,2,3,NA,3,2,3,1,2,NA,1,NA,2,2,1,1,2,2,2,1,NA,7,6,6,6,4,3,3,2,4,3,1,6,6,5,5,2,3,5,5,4,3,3,4,2,19,female,White or European-American,Some college or technical school,"Less than $10,000",Not currently working for pay,4,No,Female,White,Not_working,4.4,7,6,2,4.5,5.5,1.5,4.5,5,1.4375,1.769230769,1.625,2
R_exQBfvODfRxDrzj,4,2,2,2,3,1,2,2,0,3,2,0,4,2,1,NA,2,0,0,0,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,1,2,NA,2,2,NA,4,2,1,0,1,NA,NA,NA,2,1,1,2,2,1,1,1,3,7,7,7,7,4,7,2,1,2,1,7,4,7,4,5,5,7,7,4,7,2,4,5,5,19,male,Hispanic or Latinx,Some college or technical school,"Less than $10,000",Working for pay (part-time or full-time),4,Yes,Non-female,Non-white,Working,4.5,7,7,1,6,7,6,5.5,4,2,1.5,1.666666667,1.888888889
R_XSyGcZLOna40q9r,4,3,3,1,3,3,3,3,NA,1,1,NA,2,1,3,1,3,NA,3,NA,3,3,3,3,1,1,3,1,1,3,3,3,1,3,3,3,3,0,1,1,0,1,1,3,1,3,0,3,0,3,3,3,3,1,3,1,1,1,7,7,7,7,7,7,7,1,1,1,6,6,6,6,6,6,6,6,6,6,4,2,3,2,19,female,more than one race,Graduated high school (or GED),"$200,000 to $220,000",Not currently working for pay,0,No,Female,Non-white,Not_working,5.2,7,7,1,6,6,6,6,6,2.9375,1.111111111,2.75,0.846153846
R_0HPjwRBIPh1x8f7,1,1,1,2,1,2,2,2,1,3,4,1,2,4,2,2,2,1,2,1,2,1,2,1,2,2,1,3,2,1,1,1,2,1,1,2,1,1,3,4,1,1,4,1,3,1,1,1,1,1,1,1,1,2,2,1,3,2,4,5,5,5,5,5,5,5,5,5,1,4,4,1,4,1,3,5,3,4,4,3,5,2,20,female,White or European-American,Some college or technical school,"$100,000 to $120,000",Not currently working for pay,4,No,Female,White,Not_working,4.9,4,5,5,4,4.5,1,3.5,2,1.625,2.076923077,1.1875,2.076923077
R_1djocqX88HnIpIo,3,1,1,2,1,1,1,1,2,4,4,1,4,4,1,4,1,2,1,2,1,1,1,1,4,4,1,3,4,4,4,2,2,1,2,1,1,2,4,4,1,4,4,1,4,2,2,1,1,4,2,3,1,4,4,2,4,4,5,6,6,7,6,7,7,1,4,4,1,2,2,1,7,1,7,3,1,7,2,2,3,5,20,female,White or European-American,Some college or technical school,"$30,000 to $40,000",Working for pay (part-time or full-time),2,No,Female,White,Working,5.3,5,7,1,7,2.5,1,4.5,1,1.3125,3.076923077,2.1875,3.076923077
